,Neighborhood,Cluster,Neighborhood Latitude,Neighborhood Longitude,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
39,Parkdale Village,2,43.63809300000001,-79.46658430000001,Park,Gym / Fitness Center,Light Rail Station,Lake,Beach,Building,Trail,American Restaurant,Bus Stop,Gas Station
40,Railway Lands,0,43.645230499999926,-79.39119380000008,Italian Restaurant,Hotel,Coffee Shop,Pizza Place,Japanese Restaurant,Arts & Crafts Store,Diner,Thai Restaurant,Fast Food Restaurant,Restaurant
41,Rathnelly,4,43.678395300000005,-79.40082170000004,Park,Mexican Restaurant,French Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Coffee Shop,Shoe Repair,Restaurant,Sandwich Place
42,Regent Park,0,43.66070560000002,-79.36045689999999,Coffee Shop,Thai Restaurant,Food Truck,Restaurant,Beer Store,Grocery Store,Auto Dealership,Sushi Restaurant,Fast Food Restaurant,Park
43,Richmond,0,43.64858749999994,-79.39137289999984,Coffee Shop,Vegetarian / Vegan Restaurant,Bar,Pizza Place,Thai Restaurant,Hotel,Restaurant,Sushi Restaurant,Beer Bar,Cosmetics Shop
44,Riverdale,4,43.6654704,-79.35259360000005,Vietnamese Restaurant,Chinese Restaurant,Bakery,Bar,Coffee Shop,Fast Food Restaurant,Grocery Store,Chocolate Shop,Vegetarian / Vegan Restaurant,Gym / Fitness Center
45,Roncesvalles,4,43.651442600000046,-79.45103809999999,Café,Restaurant,Gourmet Shop,Gift Shop,Bookstore,Sushi Restaurant,Gastropub,Gas Station,Breakfast Spot,Brewery
46,Rosedale,2,43.678355599999996,-79.38074570000002,Park,Playground,Bike Trail,Food Truck,Coffee Shop,Japanese Restaurant,Accessories Store,Night Market,Opera House,Office
47,Roselawn,4,43.6994563,-79.45461639999999,Bakery,Antique Shop,Bank,Clothing Store,Trail,Coffee Shop,Sandwich Place,Argentinian Restaurant,Bike Shop,Paintball Field
48,Runnymede,0,43.65170259999997,-79.47599780000004,Coffee Shop,Café,Bakery,Bank,Pizza Place,Dessert Shop,Frozen Yogurt Shop,Greek Restaurant,Thai Restaurant,Gourmet Shop
49,Ryerson,0,43.65846945000008,-79.37899327245871,Coffee Shop,Clothing Store,Diner,Café,Ramen Restaurant,Burger Joint,Middle Eastern Restaurant,Japanese Restaurant,Falafel Restaurant,Fast Food Restaurant
50,South Hill,4,43.67792609999999,-79.40576710000003,Sandwich Place,Café,History Museum,Coffee Shop,Cosmetics Shop,Donut Shop,Museum,Steakhouse,Modern European Restaurant,Middle Eastern Restaurant
51,South Niagara,4,43.64563619999995,-79.4097646,Pizza Place,Coffee Shop,Bakery,Yoga Studio,Café,Optical Shop,American Restaurant,Furniture / Home Store,Dessert Shop,Italian Restaurant
52,St. James Town,0,43.66940320000002,-79.3727041000001,Coffee Shop,Pizza Place,Bakery,Grocery Store,Café,Bar,Library,Bike Rental / Bike Share,Caribbean Restaurant,Market
53,Studio District,0,43.64958514999995,-79.39068322559338,Coffee Shop,Pizza Place,Japanese Restaurant,Café,Cosmetics Shop,Vegetarian / Vegan Restaurant,Bistro,Fast Food Restaurant,Event Space,Theater
54,Summerhill East,4,43.68167760000004,-79.39050369999997,Italian Restaurant,French Restaurant,Spa,Coffee Shop,Sushi Restaurant,Café,Furniture / Home Store,Grocery Store,Bar,Convenience Store
55,Summerhill West,4,43.68167760000004,-79.39050369999997,Italian Restaurant,French Restaurant,Spa,Coffee Shop,Sushi Restaurant,Café,Furniture / Home Store,Grocery Store,Bar,Convenience Store
56,Swansea,2,43.64494000000001,-79.478313,Park,Skating Rink,Pilates Studio,Bus Line,Dance Studio,Accessories Store,Night Market,Office,North Indian Restaurant,Noodle House
57,The Annex,4,43.670337699999955,-79.40711700000007,Pizza Place,Park,Thai Restaurant,Indian Restaurant,Gym,Bistro,Ice Cream Shop,Falafel Restaurant,Bookstore,Sandwich Place
58,The Beaches,4,43.67102440000003,-79.29671199999994,Beach,Restaurant,Tea Room,Bar,Park,Japanese Restaurant,Bakery,Coffee Shop,Breakfast Spot,Pizza Place
59,The Beaches West,4,43.67102440000003,-79.29671199999994,Beach,Restaurant,Tea Room,Bar,Park,Japanese Restaurant,Bakery,Coffee Shop,Breakfast Spot,Pizza Place
60,The Danforth West,0,43.67894389999996,-79.34485969999996,Greek Restaurant,Coffee Shop,Café,Sushi Restaurant,Pizza Place,Pub,Furniture / Home Store,Grocery Store,Bookstore,Italian Restaurant
61,The Junction South,4,43.6654775,-79.47035199999996,Coffee Shop,Italian Restaurant,Bar,Thai Restaurant,Café,Nail Salon,Grocery Store,Bakery,Mexican Restaurant,Indian Restaurant
62,Toronto Dominion Centre,0,43.64737680000002,-79.38137194291285,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Gastropub,Bar,Seafood Restaurant,Japanese Restaurant,Asian Restaurant
63,Toronto Islands,4,43.6230544,-79.39431563721034,Harbor / Marina,Café,Music Venue,Park,Accessories Store,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
64,Trinity,0,43.66530155000004,-79.39525214965944,Café,Coffee Shop,Restaurant,Boutique,Clothing Store,Museum,Park,Pub,Sporting Goods Shop,Bubble Tea Shop
65,Underground city,4,43.770145400000004,-79.37486250000003,Bank,Breakfast Spot,Pizza Place,Fish Market,Pharmacy,Sporting Goods Shop,Persian Restaurant,Outdoor Supply Store,Fast Food Restaurant,Chinese Restaurant
66,Union Station,0,43.644534500000056,-79.38038099999996,Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Deli / Bodega,Salad Place,Breakfast Spot,Bar,Sporting Goods Shop
67,University of Toronto,4,43.66346199999999,-79.39775965337456,Café,Bookstore,Italian Restaurant,Japanese Restaurant,Park,Chinese Restaurant,Bakery,Bank,College Arts Building,Theater
68,Victoria Hotel,0,43.66946914999996,-79.37326824999995,Coffee Shop,Pizza Place,Grocery Store,Café,Bakery,Bar,Library,Breakfast Spot,Filipino Restaurant,Caribbean Restaurant
69,Yorkville,0,43.671386099999935,-79.39016770000013,Italian Restaurant,Café,Restaurant,Spa,Hotel,Clothing Store,Coffee Shop,Boutique,Women's Store,Japanese Restaurant
