,Neighborhood,Top10,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
51,South Niagara,"['Pizza Place', 'Coffee Shop', 'Bakery', 'Yoga Studio', 'Café', 'Optical Shop', 'American Restaurant', 'Furniture / Home Store', 'Dessert Shop', 'Italian Restaurant']",Pizza Place,Coffee Shop,Bakery,Yoga Studio,Café,Optical Shop,American Restaurant,Furniture / Home Store,Dessert Shop,Italian Restaurant
52,St. James Town,"['Coffee Shop', 'Pizza Place', 'Bakery', 'Grocery Store', 'Café', 'Bar', 'Library', 'Bike Rental / Bike Share', 'Caribbean Restaurant', 'Market']",Coffee Shop,Pizza Place,Bakery,Grocery Store,Café,Bar,Library,Bike Rental / Bike Share,Caribbean Restaurant,Market
53,Studio District,"['Coffee Shop', 'Pizza Place', 'Japanese Restaurant', 'Café', 'Cosmetics Shop', 'Vegetarian / Vegan Restaurant', 'Bistro', 'Fast Food Restaurant', 'Event Space', 'Theater']",Coffee Shop,Pizza Place,Japanese Restaurant,Café,Cosmetics Shop,Vegetarian / Vegan Restaurant,Bistro,Fast Food Restaurant,Event Space,Theater
54,Summerhill East,"['Italian Restaurant', 'French Restaurant', 'Spa', 'Coffee Shop', 'Sushi Restaurant', 'Café', 'Furniture / Home Store', 'Grocery Store', 'Bar', 'Convenience Store']",Italian Restaurant,French Restaurant,Spa,Coffee Shop,Sushi Restaurant,Café,Furniture / Home Store,Grocery Store,Bar,Convenience Store
55,Summerhill West,"['Italian Restaurant', 'French Restaurant', 'Spa', 'Coffee Shop', 'Sushi Restaurant', 'Café', 'Furniture / Home Store', 'Grocery Store', 'Bar', 'Convenience Store']",Italian Restaurant,French Restaurant,Spa,Coffee Shop,Sushi Restaurant,Café,Furniture / Home Store,Grocery Store,Bar,Convenience Store
56,Swansea,"['Park', 'Skating Rink', 'Pilates Studio', 'Bus Line', 'Dance Studio', 'Accessories Store', 'Night Market', 'Office', 'North Indian Restaurant', 'Noodle House']",Park,Skating Rink,Pilates Studio,Bus Line,Dance Studio,Accessories Store,Night Market,Office,North Indian Restaurant,Noodle House
57,The Annex,"['Pizza Place', 'Park', 'Thai Restaurant', 'Indian Restaurant', 'Gym', 'Bistro', 'Ice Cream Shop', 'Falafel Restaurant', 'Bookstore', 'Sandwich Place']",Pizza Place,Park,Thai Restaurant,Indian Restaurant,Gym,Bistro,Ice Cream Shop,Falafel Restaurant,Bookstore,Sandwich Place
58,The Beaches,"['Beach', 'Restaurant', 'Tea Room', 'Bar', 'Park', 'Japanese Restaurant', 'Bakery', 'Coffee Shop', 'Breakfast Spot', 'Pizza Place']",Beach,Restaurant,Tea Room,Bar,Park,Japanese Restaurant,Bakery,Coffee Shop,Breakfast Spot,Pizza Place
59,The Beaches West,"['Beach', 'Restaurant', 'Tea Room', 'Bar', 'Park', 'Japanese Restaurant', 'Bakery', 'Coffee Shop', 'Breakfast Spot', 'Pizza Place']",Beach,Restaurant,Tea Room,Bar,Park,Japanese Restaurant,Bakery,Coffee Shop,Breakfast Spot,Pizza Place
60,The Danforth West,"['Greek Restaurant', 'Coffee Shop', 'Café', 'Sushi Restaurant', 'Pizza Place', 'Pub', 'Furniture / Home Store', 'Grocery Store', 'Bookstore', 'Italian Restaurant']",Greek Restaurant,Coffee Shop,Café,Sushi Restaurant,Pizza Place,Pub,Furniture / Home Store,Grocery Store,Bookstore,Italian Restaurant
61,The Junction South,"['Coffee Shop', 'Italian Restaurant', 'Bar', 'Thai Restaurant', 'Café', 'Nail Salon', 'Grocery Store', 'Bakery', 'Mexican Restaurant', 'Indian Restaurant']",Coffee Shop,Italian Restaurant,Bar,Thai Restaurant,Café,Nail Salon,Grocery Store,Bakery,Mexican Restaurant,Indian Restaurant
62,Toronto Dominion Centre,"['Coffee Shop', 'Café', 'Hotel', 'Restaurant', 'American Restaurant', 'Gastropub', 'Bar', 'Seafood Restaurant', 'Japanese Restaurant', 'Asian Restaurant']",Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Gastropub,Bar,Seafood Restaurant,Japanese Restaurant,Asian Restaurant
63,Toronto Islands,"['Harbor / Marina', 'Café', 'Music Venue', 'Park', 'Accessories Store', 'Optical Shop', 'Opera House', 'Office', 'North Indian Restaurant', 'Noodle House']",Harbor / Marina,Café,Music Venue,Park,Accessories Store,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
64,Trinity,"['Café', 'Coffee Shop', 'Restaurant', 'Boutique', 'Clothing Store', 'Museum', 'Park', 'Pub', 'Sporting Goods Shop', 'Bubble Tea Shop']",Café,Coffee Shop,Restaurant,Boutique,Clothing Store,Museum,Park,Pub,Sporting Goods Shop,Bubble Tea Shop
65,Underground city,"['Bank', 'Breakfast Spot', 'Pizza Place', 'Fish Market', 'Pharmacy', 'Sporting Goods Shop', 'Persian Restaurant', 'Outdoor Supply Store', 'Fast Food Restaurant', 'Chinese Restaurant']",Bank,Breakfast Spot,Pizza Place,Fish Market,Pharmacy,Sporting Goods Shop,Persian Restaurant,Outdoor Supply Store,Fast Food Restaurant,Chinese Restaurant
66,Union Station,"['Coffee Shop', 'Café', 'Restaurant', 'Hotel', 'Japanese Restaurant', 'Deli / Bodega', 'Salad Place', 'Breakfast Spot', 'Bar', 'Sporting Goods Shop']",Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Deli / Bodega,Salad Place,Breakfast Spot,Bar,Sporting Goods Shop
67,University of Toronto,"['Café', 'Bookstore', 'Italian Restaurant', 'Japanese Restaurant', 'Park', 'Chinese Restaurant', 'Bakery', 'Bank', 'College Arts Building', 'Theater']",Café,Bookstore,Italian Restaurant,Japanese Restaurant,Park,Chinese Restaurant,Bakery,Bank,College Arts Building,Theater
68,Victoria Hotel,"['Coffee Shop', 'Pizza Place', 'Grocery Store', 'Café', 'Bakery', 'Bar', 'Library', 'Breakfast Spot', 'Filipino Restaurant', 'Caribbean Restaurant']",Coffee Shop,Pizza Place,Grocery Store,Café,Bakery,Bar,Library,Breakfast Spot,Filipino Restaurant,Caribbean Restaurant
69,Yorkville,"['Italian Restaurant', 'Café', 'Restaurant', 'Spa', 'Hotel', 'Clothing Store', 'Coffee Shop', 'Boutique', ""Women's Store"", 'Japanese Restaurant']",Italian Restaurant,Café,Restaurant,Spa,Hotel,Clothing Store,Coffee Shop,Boutique,Women's Store,Japanese Restaurant
